slope_angle,rainfall,temperature,vibration,crack_width,soil_moisture,displacement,pore_pressure,risk
71,119,36,6.7,5.8,75,3.3,6.7,2
30,33,25,0.8,1.0,47,0.5,1.4,0
31,17,23,1.9,0.5,27,1.0,0.8,0
62,95,30,5.8,5.2,78,2.9,6.3,2
31,38,20,1.5,0.9,29,0.8,0.5,0
77,100,32,6.4,4.5,78,2.3,7.0,2
21,36,29,0.7,0.9,48,0.3,1.2,0
65,100,38,6.1,4.6,79,3.1,5.8,2
45,55,25,3.3,2.0,51,1.8,3.5,1
50,43,29,3.5,2.8,62,1.8,2.8,1
42,57,26,5.5,2.8,50,1.3,2.7,1
33,25,28,1.0,0.2,42,0.6,1.0,0
57,55,25,2.9,1.7,59,1.3,3.1,1
25,18,26,0.6,0.9,36,0.6,1.7,0
48,45,33,4.8,3.0,60,1.8,2.4,1
66,77,40,6.2,3.5,74,2.6,4.2,2
24,4,24,1.9,1.0,35,0.8,2.0,0
43,57,31,5.2,2.9,53,1.2,2.2,1
33,18,26,1.7,0.2,20,0.5,1.9,0
55,43,25,3.2,1.8,67,1.5,2.9,1
67,72,37,7.1,3.2,70,3.5,4.9,2
55,40,26,4.0,1.6,41,1.7,2.3,1
63,109,36,7.0,3.6,80,3.6,7.0,2
71,98,30,6.3,3.3,73,2.6,4.2,2
76,87,38,7.2,3.9,81,3.3,6.6,2
69,113,34,6.7,5.8,61,2.3,4.3,2
36,40,21,1.3,0.7,33,0.3,1.5,0
68,81,36,7.2,5.4,85,2.9,6.8,2
68,97,37,6.3,5.5,86,3.9,5.7,2
80,119,36,7.3,5.8,76,3.1,7.0,2
78,105,32,8.6,4.6,82,2.9,5.4,2
74,74,37,7.6,5.1,66,3.7,5.7,2
67,88,39,8.8,5.9,73,2.1,5.5,2
68,115,38,6.0,5.6,70,2.8,4.3,2
31,27,25,1.9,0.6,38,0.5,1.6,0
60,54,30,5.0,2.9,45,1.0,2.9,1
52,63,34,4.1,1.9,60,1.7,2.7,1
65,92,37,6.5,4.2,85,2.8,4.3,2
30,32,23,0.9,0.6,32,0.5,1.0,0
37,34,23,0.5,0.5,34,0.5,1.0,0
25,21,22,1.2,0.3,23,1.0,0.7,0
76,72,39,6.9,3.9,63,3.3,4.0,2
54,38,25,3.5,1.3,56,1.9,3.6,1
73,75,37,7.5,3.2,88,2.5,4.2,2
56,37,29,4.6,1.2,67,1.4,3.7,1
76,79,31,7.9,3.6,71,2.6,6.3,2
45,43,26,3.1,1.4,45,1.9,3.9,1
25,40,30,2.2,0.2,34,0.4,1.3,0
60,30,31,4.0,2.3,50,2.0,2.8,1
46,33,33,5.1,1.6,41,1.4,3.3,1
57,50,35,3.1,1.9,42,1.6,2.0,1
52,58,32,4.8,1.9,43,1.2,3.9,1
58,35,30,3.7,1.1,47,1.8,2.6,1
69,76,38,8.4,5.7,65,3.3,6.0,2
73,115,33,6.5,3.4,74,3.3,6.9,2
30,9,29,0.7,0.3,44,0.5,1.8,0
47,68,33,4.7,1.8,50,1.4,3.3,1
